product_name,aspect,descriptor,polarity_score,sentiment_label
Jira,tool,best,1.0,Positif
Jira,scopei,deployment,0.0,Positif
Jira,issues,daily,0.0,Positif
Jira,tool,great,0.8,Positif
Jira,use,incentivizedfebruary,0.0,Positif
Jira,scopewe,deployment,0.0,Positif
Jira,methodology,kanban,0.0,Positif
Jira,tool,good,0.7,Positif
Jira,use,incentivizedaugust,0.0,Positif
Jira,project,big conplex,0.0,Positif
Jira,software,main,0.16666666666666666,Positif
Jira,factor,imporant,0.0,Positif
Jira,process,whole agile,0.35,Positif
Jira,tool,great,0.8,Positif
Jira,cases,incentivizedapril,0.0,Positif
Jira,tasks,multiple,0.0,Positif
Jira,cases,incentivizedapril,0.0,Positif
Jira,scopei,deployment,0.0,Positif
Jira,activity,safe,0.5,Positif
Jira,rituals,major,0.0625,Positif
Jira,function,collaborative,0.0,Positif
Jira,scopewe,deployment,0.0,Positif
Jira,jira,atlassian,0.0,Positif
Jira,methodologies,agile,0.5,Positif
Jira,feature,awesome,1.0,Positif
Jira,parts,main,0.16666666666666666,Positif
Jira,tool,powerful,0.3,Positif
Jira,rating,solid,0.0,Positif
Jira,aspects,commercial,0.0,Positif
Jira,contracts,ready,0.2,Positif
Jira,dates,due,-0.125,Negatif
Jira,project,bigger,0.0,Positif
Jira,team,large,0.21428571428571427,Positif
Jira,projects,big,0.0,Positif
Jira,tasks,small,-0.25,Negatif
Jira,level,low,0.0,Positif
Jira,messenger,corporate,0.0,Positif
Jira,tracking,related,0.0,Positif
Jira,boards,individual,0.0,Positif
Jira,rating,powerful,0.3,Positif
Jira,organization,scopeour,0.0,Positif
Jira,ai,conversational,0.0,Positif
Jira,form,amazing,0.6000000000000001,Positif
Jira,range,wide,-0.1,Negatif
Jira,tool,great,0.8,Positif
Jira,job,great,0.8,Positif
Jira,jira,atlassian,0.0,Positif
Jira,tool,best,1.0,Positif
Jira,jira,atlassian,0.0,Positif
Jira,teams,multiple,0.0,Positif
Jira,excellencerating,operational,0.0,Positif
Jira,type,following,0.0,Positif
Jira,tool,great,0.8,Positif
Jira,departments,different,0.0,Positif
Jira,scopeto,deployment,0.0,Positif
Jira,time,real,0.2,Positif
Jira,backlog,proper,0.0,Positif
Jira,bugs,similar,0.0,Positif
Jira,design,deployment,0.0,Positif
Jira,departments,different,0.0,Positif
Jira,tool,great,0.8,Positif
Jira,company,big,0.0,Positif
Jira,requests,many,0.5,Positif
Jira,teams,other,-0.125,Negatif
Jira,team,other,-0.125,Negatif
Jira,use,deployment,0.0,Positif
Jira,boards,multiple,0.0,Positif
Jira,scopei,deployment,0.0,Positif
Jira,needs,bloated,0.0,Positif
Jira,redesign,full,0.35,Positif
Jira,scopewe,deployment,0.0,Positif
Jira,use,inter,0.0,Positif
Jira,lifecycle,complete,0.1,Positif
Jira,stories,individual,0.0,Positif
Jira,scopewe,deployment,0.0,Positif
Jira,products,digital,0.0,Positif
Jira,jira,present,0.0,Positif
Jira,teams,multiple,0.0,Positif
Jira,software,great,0.8,Positif
Jira,cases,incentivizeddecember,0.0,Positif
Jira,use,deployment,0.0,Positif
Jira,way,great,0.8,Positif
Jira,issues,scopeproject,0.0,Positif
Jira,management,deployment,0.0,Positif
Jira,teams,various,0.0,Positif
Jira,use,incentivizedfebruary,0.0,Positif
Jira,software,deployment,0.0,Positif
Jira,software,essential,0.0,Positif
Jira,use,incentivizedjanuary,0.0,Positif
Jira,software,deployment,0.0,Positif
Jira,methodology,agile,0.5,Positif
Jira,boards,kanban,0.0,Positif
Jira,tasks,daily,0.0,Positif
Jira,cases,incentivizednovember,0.0,Positif
Jira,management,deployment scopeproject,0.0,Positif
Jira,story,easy,0.43333333333333335,Positif
Jira,use,deployment,0.0,Positif
Jira,peoplerating,lazy,-0.25,Negatif
Jira,software,other,-0.125,Negatif
Jira,review,quick,0.3333333333333333,Positif
Jira,cases,incentivizedapril,0.0,Positif
Jira,team,deployment scopeour,0.0,Positif
Jira,methodology,agile,0.5,Positif
Jira,review,amazing,0.6000000000000001,Positif
Jira,problems,amp,0.0,Positif
Jira,team,whole,0.2,Positif
Jira,trac,single,-0.07142857142857142,Negatif
Jira,project,excellent,1.0,Positif
