aspect,avg_sentiment,sentiment_volatility,mention_frequency,final_label
agent,0.19665889665889666,0.1645293962227947,13,Positive
time,0.11285714285714285,0.45249121463264663,10,Positive
work,0.023809523809523808,0.14202801720772443,7,Negative
week,0.12727272727272726,0.2165659863558472,5,Positive
team,0.11952380952380952,0.10965830251584964,5,Positive
system,0.07500000000000001,0.25,4,Positive
manager,0.375,0.47871355387816905,4,Positive
comment,0.3666666666666667,0.12583057392117916,3,Positive
idea,0.09166666666666667,0.08779711460710615,3,Positive
functionality,0.16666666666666666,0.2886751345948129,3,Positive
software,-0.3333333333333333,0.5773502691896258,3,Negative
minute,0.0,0.0,3,Negative
