aspect,avg_sentiment,sentiment_volatility,mention_frequency,final_label
datum,0.09734848484848484,0.10459859111963397,12,Positive
source,0.00974025974025974,0.025770304977901858,7,Negative
work,-0.015259740259740267,0.2951758036887518,7,Negative
year,0.13333333333333333,0.3371448748930742,6,Positive
startup,0.0,0.0,6,Negative
evening,0.6999999999999998,0.0,6,Positive
company,-0.3,0.34641016151377546,4,Negative
agent,-0.125,0.25,4,Negative
team,-0.0625,0.1613743060919757,4,Negative
account,0.007575757575757569,0.22306714945962813,3,Negative
reply,0.6,0.5291502622129182,3,Positive
project,0.5222222222222223,0.32375116187407704,3,Positive
morning,0.6999999999999998,0.0,3,Positive
github,0.04545454545454545,0.07872958216222169,3,Negative
email,0.10000000000000002,0.0,3,Positive
thank,0.6,0.09999999999999998,3,Positive
ticket,0.08333333333333333,0.14433756729740646,3,Positive
thread,0.0,0.0,3,Negative
