aspect,avg_sentiment,sentiment_volatility,mention_frequency,final_label
time,0.13057851239669424,0.24820088928632875,11,Positive
evening,0.7,0.0,9,Positive
board,0.01948051948051948,0.051540609955803715,7,Negative
progress,0.1357142857142857,0.21353041491843286,7,Positive
team,-0.03928571428571429,0.20506967457079417,7,Negative
discount,0.2,0.24324199198877375,7,Positive
code,0.08333333333333333,0.2041241452319315,6,Positive
minute,0.022727272727272724,0.05567022142689041,6,Negative
support,0.05416666666666667,0.08720187306856812,6,Positive
source,0.013636363636363636,0.03049183605681531,5,Negative
coupon,-0.016666666666666663,0.1347150628109127,4,Negative
understanding,0.2,0.0,4,Positive
task,0.0,0.0,4,Negative
company,0.25,0.28867513459481287,4,Positive
offer,0.25,0.5,4,Positive
day,0.26666666666666666,0.37859388972001823,3,Positive
card,0.0,0.0,3,Negative
feature,0.4166666666666667,0.5204164998665332,3,Positive
idea,0.2523809523809524,0.2535798120679865,3,Positive
reason,-0.0625,0.41438961135626945,3,Negative
project,0.2222222222222222,0.2545875386086578,3,Positive
system,0.0,0.0,3,Negative
tier,0.3333333333333333,0.2886751345948129,3,Positive
