product_name,review_title,rating,pros,cons,full_content,page_number
Jira,Best tool for track and manage the project work,N/A,"Atlassian Jira is very good at managing and tracking tasks and issues.We can use boards and sprints to plan tasks for a specific time period.Team members can comment on tickets, attach files, videos, images, and share updates in one place.It also provide dashboards that help us to see tasks, issues, etc.","Atlassian Jira has many features which can make it confusing for a new users at the time of beginning.If there are many projects, and tickets, then Atlassian Jira become slow.Searching issues may take more time than expected.","Best tool for track and manage the project workRating: 9 out of 10IncentivizedMarch 13, 2026Use Cases and Deployment ScopeI used Atlassian Jira to manage our daily work, track issues,track tasks, and handle project progress. Our development, QA and support team create tickets for bugs, features, cha...",1
Jira,Great tool for enterprises for project and resource management,N/A,Project ManagementResource ManagementDashboard and ReportingIntegrations,Searching issues can be simplified,"Great tool for enterprises for project and resource managementRating: 8 out of 10IncentivizedFebruary 7, 2026Use Cases and Deployment ScopeWe use JIRA for project and resource management. I create tasks and stories in JIRA and follow KANBAN methodology. Some of our teams track their work using Agile...",1
Jira,Good tool to manage projects,N/A,Create and manage work itemsKeep track of overall projectAssign a work item to others when your work is done in that itemCreate bugs related work items,Associate Salesforce ultant in Information Technology at Horizontal Digital (201-500 employees),"Good tool to manage projectsRating: 9 out of 10IncentivizedAugust 12, 2025Use Cases and Deployment ScopeAtlassian Jira helps us manage and track Project, stories, tasks, bugs, etc. It is very helpful where you have big conplex project and want to manage and keep everything documentated. You can also...",1
Jira,A Tool Must Have By PM,N/A,Bug TrackingResource ManagementFriedly User Interface,Time LoggingSprint ManagaementGenerative AI,"A Tool Must Have By PMRating: 9 out of 10IncentivizedJuly 21, 2025Use Cases and Deployment ScopeAtlassian Jira is the main software for software development activites and tracking and coordinating QA activites it is one of the most imporant factor in the whole agile process its features of tracking ...",1
Jira,Great tool for team organization and collaboration,N/A,Organizing sprintsDescribing and tracking tasksFilter methods,"Navigation, e.g. to WikiCustomizable dashborrds","Great tool for team organization and collaborationRating: 8 out of 10IncentivizedApril 3, 2025Use Cases and Deployment ScopeWe use Atlassian Jira to describe our tasks and plan our sprints. The tool allows to structure multiple tasks in epics, which helps searching, organizing, working together and ...",1
Jira,A must have for product backlog management,N/A,Product backlog managementProgram managementPortfolio synchronization,Dependencies listingDocumentation managementTemplatingIA features,"A must have for product backlog managementRating: 8 out of 10IncentivizedApril 1, 2025Use Cases and Deployment ScopeI use Atlassian Jira to manage my product backlog, manage all the products of my program and pilot all my train (safe) activity. It is an enabler for major synchronization rituals and ...",1
Jira,Jira A Software for Streamlining IT Operations,N/A,The ticket can be classified according to the type of the option that it delivers.There is a JIRA board available for checking and moving the modifications.It is quite convenient to have a project planning template.,"When I was making a new component for an incident, I wanted to add a hyperlink to the drive so that when a person clicked on it, it would take them to the document. However, this feature is not available for JIRA categorization.","Jira A Software for Streamlining IT OperationsRating: 10 out of 10IncentivizedMarch 31, 2025Use Cases and Deployment ScopeIt is a lifesaver for me to use JIRA since it allows me to plan any project and track it with the collaborative function that it provides. Additionally, it is incredibly benefici...",1
Jira,Atlassian Jira - Good workflow  project manager,N/A,Its holds data in very structured wayvery good incident managementProblem managementchange management,UI looks can be much betterUsers management can be liitel more easierIt requires lot of learning before start of use,"Atlassian Jira - Good workflow  project managerRating: 8 out of 10IncentivizedMarch 31, 2025Use Cases and Deployment ScopeWe using Atlassian Jira for the incidents management tool where on all cases gets raised for ay requirements in the project gets raised by Atlassian Jira and we work ont them and...",1
Jira,Using Jira for handling customer support and transformation to Agile methodologies.,N/A,Allow for customizable workflows.Issue tracking and reporting.Integration with other systems.,Support on configuration.Eazy BI.Reporting customization.,"Using Jira for handling customer support and transformation to Agile methodologies.Rating: 8 out of 10IncentivizedMarch 27, 2025Use Cases and Deployment ScopeWe use Atlassian Jira to provide customer support and manage projects. Jira allows us to track issues, prioritize tasks, and maintain clear co...",1
Jira,Awesome feature set with a sometimes challenging interface.,N/A,Visualizing ongoing work.Enabling team planning.Providing team metrics (especially through the use of addons).Visualizing and enabling workflows.Automations are good time savers.,"Interface is sometimes clunky or not exactly user friendly.Configuration can be tricky for less experienced users.Some features are somewhat limited (for example, unable to set resolutions per issue type).","Awesome feature set with a sometimes challenging interface.Rating: 8 out of 10IncentivizedMarch 27, 2025Use Cases and Deployment ScopeJira is used to plan and track work, monitor progress, and track metrics. It's used across the organization and covers the main parts of the development cycle, from m...",1
Jira,JIRA A Powerful and Flexible Project Management Tool.,N/A,"Integration of tools like Bitbucket, Github, etc., has made it easier to track the code changes, pull requests, and branches linked to the respective ticket.The detailed tracking system in JIRA has helped the teams prioritize and understand the project tasks and issues.JIRA's project tracking board helps you keep track of the project, its flow, and expectations in a structured format.","Our Engineering teams occasionally deal with delays when filtering large backlogs of issues. Jira could work on improving this.I have observed that non-technical teams/team members often struggle with JQL queries when creating dashboards, etc. A simplified filter tool would be helpful.More control over the organization's email notification system would be helpful. With this control, we could reduce and customize the irrelevant update emails and get notified only about important updates.","JIRA A Powerful and Flexible Project Management Tool.Rating: 8 out of 10IncentivizedMarch 27, 2025Use Cases and Deployment ScopeJIRA is used in my organization for project management, to keep track of issues and tasks, and to streamline/improve communications between developers, QA engineers, and di...",2
Jira,Jiras pretty solid.,N/A,"Likelihood to RecommendJira is very well suited for project management overall. From Commercial pecting to Project Management in AGILE environments, Jira works fine and delivers. It provides an integrated and robust workspace, allowing people to track what they're doing and manage all the relevant metrics. However, it's a bit less appropriate when dealing with non-Agile projects.",Translation and Localization options.Permission Management.,"Jiras pretty solid.Rating: 10 out of 10IncentivizedMarch 27, 2025Use Cases and Deployment ScopeHere, we use JIRA to control the Commercial aspects of our projects, from prospecting leads to agreed contracts and projects ready to be worked on. We use features such as due dates and priority and organi...",2
Jira,Jira Review.,N/A,Listing the projects in board.Easy to manage Jira from Mobile App.Bug tracking system.,"Navigation should be improved.Newly created tickets are sometimes automatically assigned to the backlog.Due to many features, Jira's response is a little bit slow. This needs to be improved.","Jira Review.Rating: 9 out of 10IncentivizedMarch 27, 2025Use Cases and Deployment ScopeUsing Jira is useful for managing a bigger project with a large team. Basically, Jira helps us break big projects into small tasks, making it easy to manage them. The Jira dashboard is easy to use and understandab...",2
Jira,It is improving but not fast enough,N/A,Integration with branches and commitsComplex task filteringEasy task data extraction for analyticsA lot of custom options and automations via API,SearchLooking goodKeyboard-first navigationFormatting and text-composing UI,"It is improving but not fast enoughRating: 6 out of 10IncentivizedMarch 26, 2025Use Cases and Deployment Scope- Dev tasks and projects management (mainly the low level task decomposition). - Release notes. - Automated updates about releases to the corporate messenger. - Commit-tasks linking.ProsInte...",2
Jira,SDLC Management and More,N/A,Customizable report filtering and list-buildingVisibility into shared listsComponentizing separate projectsTracking project progress,The interface is not intuitive to learn for new usersJQL is similarly challenging for newbiesIt's possible to accidentally move issues from one sprint to another without realizing your mistakeCertain issue attributes aren't available in certain view (e.g. story points from the epic overview),"SDLC Management and MoreRating: 9 out of 10IncentivizedMarch 26, 2025Use Cases and Deployment ScopeAtlassian Jira is our hub for software development and related project tracking, including design and devops tasks. We monitor release progress as well as individual dev team boards across Kanban and S...",2
Jira,Atlassin Jira A powerful and complex tool.,N/A,"As a developer, it is easy to create, track and manage tickets efficiently.Customizable issue types (eg: Bug, Task, Story, Epic) allow teams to categorize and priorizate work.Great text editor and markdown support for detailed issue descriptions.Assign issues to team members, set due dates and define priorities.Integration with Jenkins, GitHub and other CI/CD tools to automate builds and deployments.",I feel like Atlassian Jira's interface can be a little overwhelming sometimes because of the sheer number of options makes it difficult to navigate.Navigating through mobile version seems like a difficult task.Sometimes Atlassian Jira can become slow when handling a large number of issues.,"Atlassin Jira A powerful and complex tool.Rating: 9 out of 10IncentivizedMarch 26, 2025Use Cases and Deployment ScopeOur organization, Kore.ai, a leading provider of conversational AI solutions, integrated Atlassian Jira to enhance project management. Atlassian Jira assists us in organizing the vari...",2
Jira,An amazing form for task management,N/A,Managing and sorting ticketsEasy navigation and friendly user-interfaceWide range of features,They are pretty good. No issue till now.,"An amazing form for task managementRating: 10 out of 10IncentivizedMarch 26, 2025Use Cases and Deployment ScopeWe use Atlassian Jira to track our task and tickets. It's easy to use and has wide range of features through which managing tickets and tasks become easier. We use the dashboards to clearly...",2
Jira,Atlassian Jira is a great tool for software development project tracking,N/A,Issue ManagementAccount ManagementSprint PlanningKanban boardsTime EstimationCommunication and Collaboration,Sometimes the permissions and roles can be difficult to configureAdding custom fields can be trickyManaging workflows could be easier,"Atlassian Jira is a great tool for software development project trackingRating: 9 out of 10IncentivizedMarch 26, 2025Use Cases and Deployment ScopeWe use Atlassian Jira to track out development projects. All of our software development is managed in Atlassian Jira. The issues are logged in Atlassian...",2
Jira,Atlassian Jira does great job in Sprint Planning,N/A,"My development team follows Scrum and uses Atlassian Jira to manage the sprints.Atlassian Jira does very well in Backlog Grooming, product managers create & prioritise user stories in the backlog.Atlassian Jira does great job in Sprint Planning, we pull tasks into a sprint board, estimate effort using story points, & assign tickets.Atlassian Jira does very well in Sprint Review & Retrospective, it generates burn down charts & velocity reports to analyse sprint performance.","Atlassian Jira boards become sluggish and slow when handling too many issues concurrently.JQL (Jira Query Language) searches take long time on large datasets. Sometimes, the system also hangs.Reports & dashboards lag when fetching data in real time.","Atlassian Jira does great job in Sprint PlanningRating: 9 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeIn my org, I use Atlassian Jira for project management, issue tracking, and agile software development. It helps streamline workflows, improve team collaboration, and ensure tim...",2
Jira,Best Tool For Project Management And Tracking,N/A,Project TrackingDashboardsFilters,,"Best Tool For Project Management And TrackingRating: 10 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeAt our firm, we use Atlassian Jira for project tracking, and it has significantly improved our workflow. It allows us to efficiently manage, track, and assign tasks within the tea...",2
Jira,Atlassian Jira use for software development,N/A,Sprint ManagementBacklog GroomingRequirements Management,It would be nice if epics could be planned within a release so you could reuse the same epic over multiple releases and have separate roadmapping details,"Atlassian Jira use for software developmentRating: 10 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeMy business utilizes Atlassian Jira to manage software development for multiple teams work into 2 week sprints. We also utilize the roadmapping feature to plan our releases. We just...",3
Jira,Atlassian Jira for Operational Excellence,N/A,AutomationsCustom field supportSLA tracking,GenAI features to be improvedExpand the scope of custom fieldsHierarchy of tickets for backlog,"Atlassian Jira for Operational ExcellenceRating: 9 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeAtlassian Jira is used for Service Desk support for clients to raise the following type of requests:- Service Requests- Bug/Issue Tickets- Feature RequestsThis is achieved through an e...",3
Jira,Atlassian Jira for IT teams,N/A,visualizing work in progressvisualizing the status of the work in progresshandling service request tickets,"allowing to show multiple people collaborating on a single storyepics sidebar should stay static when sometimes dragging stories from backlog to a particular epic, the list of epics can jump and can be difficult to get back to the epic you wanted to drag and drop a story into that epiccan be difficult to use a template without impacting other teams you share the same program with","Atlassian Jira for IT teamsRating: 8 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeWe use Atlassian Jira to visualize the work in progress within teams, plan across teams and programs, and handling service requests from customersProsvisualizing work in progressvisualizing the stat...",3
Jira,A great tool to ensure projects and ad-hoc tasks run smoothly,N/A,Tracking jobs/ticketsReviewing content and designs the team have createdDiscussing projects in teams using the Atlassian Jira boards.,Improving the accessibility for non-tech users.Better onboarding upon first use.,"A great tool to ensure projects and ad-hoc tasks run smoothlyRating: 8 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeWe use Atlassian Jira for tracking jobs and projects. This is used across different departments to keep everyone in-check and aware of how things are progressing.Pr...",3
Jira,Atlassian Jira REVIEW,N/A,"To give a real time tracking of task and their statusTo create a tasks and subtasks and categorize them as task, cr, bugthe dashboard view is very convenient",better collaborationsmanual tasks can be reducedload balancing as there are times when the Atlassian Jira server is down,"Atlassian Jira REVIEWRating: 8 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeTo manage the team and task assigned to them and to track all the progress. to get a real time view of dashboard and know the status of task and manage the sprint ceremony and also useful for time trackin...",3
Jira,Atlassian Jira Pros and Cons,N/A,Sprint PlanningEasy prioritisationWorkflows,Setting up queriesCreate independent workflows within a projectUser management,"Atlassian Jira Pros and ConsRating: 8 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeWe use Atlassian Jira for our planning to develope software. Our problem was how to organise a proper backlog and sort and prioritise all user stories, tasks, bugs and similar. As well we want to s...",3
Jira,There's a reason it's the industry standard.,N/A,Tracking work.Tracking decisions.Managing work tasks.Planning work.,Complicated for new users.Notifications can become overpowering.Difficult to keep track of multiple conversations in a large team.,"There's a reason it's the industry standard.Rating: 9 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeProduct and service design and development. Managing the workflow between different departments from analysis to design to development to testing and sign-off. Keeping team members ...",3
Jira,JIRA a great tool that can take time to master.,N/A,"Integrates so well with confluence.Great for Scrum and Kanban with boards, sprints, and reporting.Provides insights into project progress and team performance.",UI isn’t always intuitive and training is needed to learn how things work.Hard to use on mobile.Customizing workflows and permissions can be overwhelming.,"JIRA a great tool that can take time to master.Rating: 8 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeWorking in a big company, we usually have many requests from other teams. We use Jira to create tickets and then keep track of our requests and how the other team is progressing ...",3
Jira,Jira - connecting project management dots between staff and teams,N/A,Visibility to work at all levels (within and across teams)Ability to track work at a high and deep level due to details within a Jira cardCustomization of Jira cards to meet the needs of a variety of teamsUpdates you can connect to your email when you are tagged on a card,Ability to assign more than 1 person to a Jira card when multiple people own the workAbility to customize cards at the team level (we have to go through our org admin to do so),"Jira - connecting project management dots between staff and teamsRating: 10 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeWe use Jira across all of our Product Development teams at my company due to the ability to connect multiple Jira boards together and visibility that leadershi...",3
Jira,Jira Help Deliver Software Development Faster,N/A,Project ManagementTask ManagementSoftware Development Tracking,"Better integration with wikis, the Confluence to not work wellThe project configurations is hard to understandThe stories are difficult to mange in a sprint","Jira Help Deliver Software Development FasterRating: 7 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeI use Jira for organizing my team task in a Scrum approach on the context of Software Development as part of a Dev Ops culture. It help me to better plan the future features, to re...",3
Jira,"Over bloated, needs a full redesign and simplification",N/A,Interlinking of objects through bracketsComprehensive Plugins storeComprehensive search functionality,,"Over bloated, needs a full redesign and simplificationRating: 5 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeWe use Jira for the complete lifecycle of software and product development in the company, from Strategy initiatives to Projects with Sprints, individual Stories and inter...",4
Jira,"Jira, the one-stop-shop for managing your teams work.",N/A,Customisations specific to projectsWorld class searching capabilitiesIntegrations into other solutions within the Atlassian ecosystem,I'd like to see a reinvigorated interfaceNavigation between pages from the left panel can be clunky at timesReporting could do with some enhancements,"Jira, the one-stop-shop for managing your teams work.Rating: 8 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeWe use Jira for all our digital products to house past, present, and future work. Jira solves the collaboration problem for us specifically around multiple teams with contr...",4
Jira,"Jira for projects, change management and break fix",N/A,It allows us to customize workflowAllows for us to build templatesAllows for the creation of sub tasks that can be assigned to different people.,We have not figured out how to enforce all of the workflowSetting security for certain actions may not always be possible.,"Jira for projects, change management and break fixRating: 8 out of 10IncentivizedMarch 24, 2025Use Cases and Deployment ScopeWe use it for change management, break fix tickets and projects. For projects it works really well and we've figured out how to make it work for change management when everyon...",4
