product_name,review_title,rating,pros,cons,full_content,page_number
Trello,Exceeded expectations,N/A,Tasks overviewTracking updatesTeam follow upWeek organizationRecurring tasks,More customizationChat notificationsReminder messages tone,"Exceeded expectationsRating: 10 out of 10IncentivizedJune 23, 2025Use Cases and Deployment ScopeTrello came to our company to help us organize tasks, to dos, recurring activities, simple information and stay updated on what is happening inside our team. It's great to measure the advances in your own...",1
Trello,Trello for task management is the BEST,N/A,,"I wish that you could click a button and create different versions of the charts you created, for example, if my board could turn into a gantt chart!For my use case (events), it is sometimes difficult to see the overall event picture with Trello. It's less of a project management tool (in my opinion) and more for tasks.","Trello for task management is the BESTRating: 10 out of 10IncentivizedJune 13, 2025Use Cases and Deployment ScopeI use Trello every day, and have for about 15 years now! My organization hasn't adopted it, but personally, I have done so. I use it for my volunteer projects, board roles and work. I hav...",1
Trello,Trello - decent for task management,N/A,Process flow visibilitykeeping information from multiple sources in one placeChecklist organization,,"Trello - decent for task managementRating: 8 out of 10IncentivizedApril 29, 2025Use Cases and Deployment ScopeOur team mainly uses Trello for greater efficiency in our personal productivity. We had originally used it as a team-wide checklist for onboarding purposes, but we realized that having the o...",1
Trello,Trello Review from HR Perspective,N/A,Organization of tasksTimeframesCustomization,Needs more advanced project management functions.More flexibility with dates/due datesShareability,"Trello Review from HR PerspectiveRating: 9 out of 10IncentivizedApril 1, 2025Use Cases and Deployment ScopeOur company uses Trello for our onboarding process. We have found that this platform helps give new hires a better sense of direction and is able to track progress. They find it useful to be ab...",1
Trello,Trello an intuitive way to organize your work,N/A,Organize tasksCheck project statusMonitor activities and timeAdd apps and extensions to the platformA good card system,"Overall site performanceImprove security. During the time we were using the platform, it crashed several times, impacting our daily operations, leaving us with no way to access it offline (the phone app was an option, but this, too, tended to fail).Improve access. Since Atlassian acquired Trello, in our experience, creating an account or simply accessing boards has become more complicated than before, using just two clicks.","Trello an intuitive way to organize your workRating: 8 out of 10IncentivizedMarch 31, 2025Use Cases and Deployment ScopeWell, for a while, we used Trello as our primary platform for organizing work, collaborative boards, and organizational modules. During these three years of use, while it was very ...",1
Trello,Effective at Managing Onboarding Could be Less Visually Cluttered,N/A,"Different forms of communicationEngaging, aesthetic layoutTime tracking feature","It’d be nice for an admin to put a limit of how many cards are in one card overall. It can get aesthetically overwhelming at times.I don’t love how Trello automatically sends you an email for every piece of communication sent via Trello. I’m already checking it myself daily, and sometimes have to sort through double the information bc of the emails. I also realize this is a feature I could turn off myself though.","Effective at Managing Onboarding Could be Less Visually ClutteredRating: 7 out of 10IncentivizedMarch 31, 2025Use Cases and Deployment ScopeI use Trello almost every single day. Without Trello, it would be easy to have messages related to new clients or to-do items laying all over the place, but Tre...",1
Trello,Trello Great Launch Pad.,N/A,RolloutPost rollout evaluation.Team coordination.,AlertsTracking changes.,"Trello Great Launch Pad.Rating: 10 out of 10IncentivizedMarch 28, 2025Use Cases and Deployment ScopeWe used Trello to organize team coordination for evaluating new product rollouts and post-rollout assessments. We found it helpful to keep everyone synchronized using the same data. It was also more e...",1
Trello,My experience with Trello.,N/A,Allows you to create cards for specific tasks.Allows you to colour code cards for different types of task.Makes it easy to create a functioning Kanban Board.,I use colour coding a lot so I would like a wider range of colour options.Also as a visual thinker I would like to be able to easily add images to cards.I would like to be able to attach a wider range of file formats to cards.,"My experience with Trello.Rating: 10 out of 10IncentivizedMarch 27, 2025Use Cases and Deployment ScopeA colleague at the head office recommended Trello to me, and I used Trello to monitor the development of new learning resources. I started to use it as part of my personal productivity routine. It h...",1
Trello,Trello is the life savor for project management,N/A,Project ManagementResource ManagementCollaboration,Trello Lacks comprehensive reporting. Even with Paid features these things are missingTrello needs to cover the dependencies on complex projectsUpdates part works as comments they just need to be a bit better over there (Recommendation only. Not that its wrong)The new feature of marking a project and completed is weird. Since we can just move the card to done. Tracking just a tick mark is never a requirement,"Trello is the life savor for project managementRating: 9 out of 10IncentivizedMarch 26, 2025Use Cases and Deployment ScopeI use Trello for my project Management. I have one team working remotely that handles my sales and marketing whereas I handle the development team inhouse. So collaboration betwe...",1
Trello,Trello is definitely best suited for a work setting,N/A,OrganizationLabelingAllows attachments to tasks,Categories inside the categories,"Trello is definitely best suited for a work settingRating: 10 out of 10IncentivizedMarch 25, 2025Use Cases and Deployment ScopeI use Trello to organize my tasks and group them into categories for each client. Previously, I used my notes app to write out lists of what I needed to do, but it was diffi...",1
